Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
IN00258.US,Communications Equipment,USD,2526.667,6088011222.406,0.0,0.0,,SecurityBoard.USSector
IN00371.US,Consumer Staples Merchandise Retail,USD,2065.125,5868072284.926333,0.0,0.0,,SecurityBoard.USSector
IN00271.US,Restaurants,USD,1410.228,5793308876.9279995,0.0,0.0,,SecurityBoard.USSector
IN00333.US,Asset Management and Custody Banks,USD,1728.951,5790984475.703666,0.0,0.0,,SecurityBoard.USSector
ORCL.US,Oracle Corporation,USD,192.84,5623978756.966666,0.9941577211380387,554054389200.0,NYSE,SecurityBoard.Unknown
IN00374.US,"Hotels, Resorts and Cruise Lines",USD,1962.729,5233030144.878,0.0,0.0,,SecurityBoard.USSector
IN00343.US,Financial Exchanges and Data,USD,1556.747,5222334217.750334,0.0,0.0,,SecurityBoard.USSector
IN00260.US,Integrated Oil and Gas,USD,2205.52,4846517051.641001,0.0,0.0,,SecurityBoard.USSector
IN00278.US,Electrical Components and Equipment,USD,2249.475,4822342586.611667,0.0,0.0,,SecurityBoard.USSector
.DJU.US,Dow Jones Utility Average,USD,1048.33,4677035888.802334,0.0,0.0,,SecurityBoard.USDJI
IN00256.US,Regional Banks,USD,1779.675,4615120913.282,0.0,0.0,,SecurityBoard.USSector
IN00380.US,Gold,USD,2400.465,4579199637.071,0.0,0.0,,SecurityBoard.USSector
IN00312.US,Telecommunication Services,USD,1305.262,4540129805.241667,0.0,0.0,,SecurityBoard.USSector
IN00387.US,Oil and Gas Exploration and Production,USD,2418.818,4464100064.015667,0.0,0.0,,SecurityBoard.USSector
IN00319.US,Life Sciences Tools and Services,USD,1181.566,4319855923.497666,0.0,0.0,,SecurityBoard.USSector
NFLX.US,"Netflix, Inc.",USD,90.73,4293465816.9599667,1.041039836404523,384452346638.2,NASD,SecurityBoard.Unknown
GLD.US,SPDR® Gold Shares,USD,409.23,4168101454.733333,3.211070112130479,133818210000.0,AMEX,SecurityBoard.Unknown
IN00353.US,Consumer Finance,USD,2584.91,4159971151.2303333,0.0,0.0,,SecurityBoard.USSector
IN00296.US,Industrial Machinery and Supplies and Components,USD,1668.289,4102413399.2796664,0.0,0.0,,SecurityBoard.USSector
IN00330.US,Property and Casualty Insurance,USD,2222.233,4088039076.6066666,0.0,0.0,,SecurityBoard.USSector
TQQQ.US,ProShares UltraPro QQQ,USD,55.17,4059456522.3,23.617348749154832,17679226500.0,NASD,SecurityBoard.Unknown
SLV.US,iShares Silver Trust,USD,70.96,4025085725.4,12.444220281528297,37051764000.0,AMEX,SecurityBoard.Unknown
.HXC.US,NASDAQ Golden Dragon China Index,,7712.538,3993127261.1169,0.0,0.0,,SecurityBoard.USNSDQ
IN00252.US,Electronic Equipment and Instruments,USD,2010.659,3937187335.326333,0.0,0.0,,SecurityBoard.USSector
IN00324.US,Media,USD,906.135,3892738045.786333,0.0,0.0,,SecurityBoard.USSector
IN00367.US,IT Consulting and Other Services,USD,1412.897,3797809231.253,0.0,0.0,,SecurityBoard.USSector
IN00316.US,Automotive Retail,USD,2941.126,3682119356.7213335,0.0,0.0,,SecurityBoard.USSector
SOXL.US,Direxion Daily Semicondct Bull 3X ETF,USD,52.29,3550166781.266667,15.652371646290831,27311070137.399998,AMEX,SecurityBoard.Unknown
IN00310.US,Heavy Electrical Equipment,USD,1748.293,3541172620.642667,0.0,0.0,,SecurityBoard.USSector
IN00293.US,Packaged Foods and Meats,USD,882.336,3510359389.75,0.0,0.0,,SecurityBoard.USSector
MSTR.US,Strategy Inc,USD,161.83,3465176862.6666665,6.7310689802542285,48841278411.89001,NASD,SecurityBoard.Unknown
LLY.US,Eli Lilly and Company,USD,1108.09,3346808700.2105002,0.3359642401318914,1047570334941.9999,NYSE,SecurityBoard.Unknown
TSM.US,Taiwan Semiconductor Manufacturing Company Limited,USD,318.68,3330343088.040233,0.21484494271877794,1652835349664.0,NYSE,SecurityBoard.Unknown
IN00354.US,Managed Health Care,USD,1070.567,3323360808.2679996,0.0,0.0,,SecurityBoard.USSector
IN00368.US,Soft Drinks and Non-alcoholic Beverages,USD,1347.204,3282592417.2503333,0.0,0.0,,SecurityBoard.USSector
IN00363.US,Building Products,USD,1748.714,3215856042.2643337,0.0,0.0,,SecurityBoard.USSector
INTC.US,Intel Corporation,USD,42.63,3100533210.8320003,1.5839246094427606,212501027822.16,NASD,SecurityBoard.Unknown
IN00295.US,Construction and Engineering,USD,4503.76,3014409300.6029997,0.0,0.0,,SecurityBoard.USSector
IN00337.US,Oil and Gas Storage and Transportation,USD,2044.795,2953521759.260667,0.0,0.0,,SecurityBoard.USSector
JPM.US,JPMorgan Chase & Co.,USD,326.99,2949403188.6554666,0.3427925216393105,890152547842.05,NYSE,SecurityBoard.Unknown
TLT.US,iShares 20+ Year Treasury Bond ETF,USD,87.79,2942869310.5333333,6.012288886886527,48714671000.0,NASD,SecurityBoard.Unknown
LQD.US,iShares iBoxx $ Invmt Grade Corp Bd ETF,USD,110.55,2935058261.0738,9.966304525510845,29395245000.0,AMEX,SecurityBoard.Unknown
HOOD.US,"Robinhood Markets, Inc.",USD,116.97,2888615554.0666666,2.6164696922347392,105178122006.93,NASD,SecurityBoard.Unknown
IBIT.US,iShares Bitcoin Trust ETF,USD,51.54,2836855288.3,4.451636191082127,64806396000.0,NASD,SecurityBoard.Unknown
IN00265.US,Household Products,USD,1051.871,2825307816.188667,0.0,0.0,,SecurityBoard.USSector
IN00329.US,Passenger Airlines,USD,1431.077,2823245524.787,0.0,0.0,,SecurityBoard.USSector
IN00390.US,Home Improvement Retail,USD,1399.75,2817331481.436333,0.0,0.0,,SecurityBoard.USSector
IN00334.US,Trading Companies and Distributors,USD,1934.641,2751284806.900333,0.0,0.0,,SecurityBoard.USSector
IN00383.US,Specialty Chemicals,USD,1242.311,2708111212.2703333,0.0,0.0,,SecurityBoard.USSector
HYG.US,iShares iBoxx $ High Yield Corp Bd ETF,USD,80.88,2697504230.713467,15.571837864680324,17373024000.0,AMEX,SecurityBoard.Unknown
IN00332.US,Construction Machinery and Heavy Transportation Equipment,USD,2929.1,2666012284.374,0.0,0.0,,SecurityBoard.USSector
RSP.US,Invesco S&P 500® Equal Weight ETF,USD,194.79,2634662817.7,3.40955110704039,78218443225.77,AMEX,SecurityBoard.Unknown
IN00359.US,Apparel Retail,USD,2570.773,2594609016.4933333,0.0,0.0,,SecurityBoard.USSector
SNDK.US,Sandisk Corporation,USD,353.56,2553269463.0666666,7.3061558312108215,51815341967.24,NASD,SecurityBoard.Unknown
IN00358.US,Research and Consulting Services,USD,1476.384,2525196249.311,0.0,0.0,,SecurityBoard.USSector
IN00376.US,Health Care Services,USD,1541.348,2504362349.9213333,0.0,0.0,,SecurityBoard.USSector
SQQQ.US,ProShares UltraPro Short QQQ,USD,65.42,2469344694.5,24.17605303893067,9666961952.7,NASD,SecurityBoard.Unknown
COST.US,Costco Wholesale Corporation,USD,882.58,2441796166.3278337,0.6276766313745072,391750264760.38,NASD,SecurityBoard.Unknown
DIA.US,SPDR® Dow Jones Industrial Avrg ETF Tr,USD,489.96,2431782515.7637334,5.84362099285405,42378045115.32,AMEX,SecurityBoard.Unknown
IN00345.US,Energy Equipment and Services,USD,2088.861,2371787887.7460003,0.0,0.0,,SecurityBoard.USSector
APP.US,AppLovin Corporation,USD,632.92,2356835725.586867,1.050631247749947,213898478600.0,NASD,SecurityBoard.Unknown
BRK.B.US,Berkshire Hathaway Inc.,USD,496.12,2321766477.6,0.21469846468772838,1070637650889.88,NYSE,SecurityBoard.Unknown
WMT.US,Walmart Inc.,USD,112.72,2294026976.4666667,0.25535491989809544,898397220182.08,NASD,SecurityBoard.Unknown
IN00309.US,Multi-Sector Holdings,USD,2306.383,2249684568.685,0.0,0.0,,SecurityBoard.USSector
IN00303.US,Electronic Components,USD,3678.408,2247511173.053,0.0,0.0,,SecurityBoard.USSector
